1 1 6.641603727314268E68
1 2 7.829284685450944E68
1 3 5.129326650589824E68
1 4 5.726422889608377E68
1 5 6.071315055407774E68
1 6 7.676578226623518E68
1 7 8.519522058242027E68
1 8 7.8103424678632E68
1 9 7.54910593125803E68
1 10 7.274348048763012E68
2 1 1.0607765565027778E69
2 2 1.250469312759045E69
2 3 8.192403047495368E68
2 4 9.146066828611963E68
2 5 9.696918007065836E68
2 6 1.2260795059892584E69
2 7 1.3607119067981406E69
2 8 1.247443919921677E69
2 9 1.2057200223345496E69
2 10 1.161836536894668E69
3 1 9.643034739455422E68
3 2 1.13674448682321E69
3 3 7.447339093453223E68
3 4 8.314271239972966E68
3 5 8.815024864055038E68
3 6 1.1145728284727414E69
3 7 1.2369609893062093E69
3 8 1.1339942405010795E69
3 9 1.0960649526193204E69
3 10 1.056172482146529E69
4 1 8.648155518505751E68
4 2 1.0194656944071436E69
4 3 6.678991460614437E68
4 4 7.456481558873497E68
4 5 7.905572051081108E68
4 6 9.99581502894954E68
4 7 1.1093427841834103E69
4 8 1.0169991930877336E69
4 9 9.82983098655811E68
4 10 9.472063646724195E68
5 1 7.914279949331065E68
5 2 9.329546499264847E68
5 3 6.112217580428919E68
5 4 6.823730490006928E68
5 5 7.234711521778199E68
5 6 9.147578150225753E68
5 7 1.0152048416579392E69
5 8 9.306974539388044E68
5 9 8.995679381084005E68
5 10 8.668271891924713E68
6 1 5.97485248121953E68
6 2 7.043302032106793E68
6 3 4.614393047754912E68
6 4 5.151546737089748E68
6 5 5.46181514471921E68
6 6 6.905925789578054E68
6 7 7.66424640770852E68
6 8 7.026261425590556E68
6 9 6.791250450379639E68
6 10 6.544075538511805E68
7 1 7.647172487738661E68
7 2 9.014673699821155E68
7 3 5.905929840664694E68
7 4 6.593429143397311E68
7 5 6.990539538690991E68
7 6 8.838846794364194E68
7 7 9.809416124080704E68
7 8 8.992863545054164E68
7 9 8.692074618532794E68
7 10 8.375717153367542E68
8 1 9.573125493438962E68
8 2 1.128503414159433E69
8 3 7.393348013371143E68
8 4 8.253995149585712E68
8 5 8.751118453001575E68
8 6 1.1064924939956553E69
8 7 1.2279933756399065E69
8 8 1.125773106337156E69
8 9 1.0881187949528791E69
8 10 1.0485155334903048E69
9 1 7.126740109989099E68
9 2 8.401175302111849E68
9 3 5.503998654369703E68
9 4 6.144709827581768E68
9 5 6.514794664398362E68
9 6 8.237314389919198E68
9 7 9.141831109361118E68
9 8 8.380849448990028E68
9 9 8.100530872324276E68
9 10 7.805703282165604E68
10 1 9.703182333145787E68
10 2 1.1438348320693444E69
10 3 7.49379122579229E68
10 4 8.36613078646275E68
10 5 8.870007817888468E68
10 6 1.1215248799209234E69
10 7 1.2446764263035692E69
10 8 1.141067431324068E69
10 9 1.102901562795436E69
10 10 1.0627602664944552E69
